checked_at_utc;status;requested_input_url;strategy;error_type;error_message;psi_id;analysis_utc_timestamp;final_url;lighthouse_version;runtime_error_code;runtime_error_message;performance_score;accessibility_score;best_practices_score;seo_score;field_url_data_available;field_url_data_status;field_url_data_message;field_origin_data_available;field_origin_data_status;field_origin_data_message;lab_fcp_ms;lab_fcp_s;lab_fcp_ms_score;lab_lcp_ms;lab_lcp_s;lab_lcp_ms_score;lab_speed_index_ms;lab_speed_index_s;lab_speed_index_ms_score;lab_tbt_ms;lab_tbt_s;lab_tbt_ms_score;lab_cls;lab_cls_score;lab_tti_ms;lab_tti_s;lab_tti_ms_score;field_url_id;field_url_overall_category;field_url_lcp_ms;field_url_lcp_ms_status;field_url_lcp_s;field_url_lcp_s_status;field_url_lcp_ms_category;field_url_lcp_ms_good_pct;field_url_lcp_ms_needs_improvement_pct;field_url_lcp_ms_poor_pct;field_url_cls;field_url_cls_status;field_url_cls_category;field_url_cls_good_pct;field_url_cls_needs_improvement_pct;field_url_cls_poor_pct;field_url_inp_ms;field_url_inp_ms_status;field_url_inp_s;field_url_inp_s_status;field_url_inp_ms_category;field_url_inp_ms_good_pct;field_url_inp_ms_needs_improvement_pct;field_url_inp_ms_poor_pct;field_url_fcp_ms;field_url_fcp_ms_status;field_url_fcp_s;field_url_fcp_s_status;field_url_fcp_ms_category;field_url_fcp_ms_good_pct;field_url_fcp_ms_needs_improvement_pct;field_url_fcp_ms_poor_pct;field_url_ttfb_ms;field_url_ttfb_ms_status;field_url_ttfb_s;field_url_ttfb_s_status;field_url_ttfb_ms_category;field_url_ttfb_ms_good_pct;field_url_ttfb_ms_needs_improvement_pct;field_url_ttfb_ms_poor_pct;field_origin_id;field_origin_overall_category;field_origin_lcp_ms;field_origin_lcp_ms_status;field_origin_lcp_s;field_origin_lcp_s_status;field_origin_lcp_ms_category;field_origin_lcp_ms_good_pct;field_origin_lcp_ms_needs_improvement_pct;field_origin_lcp_ms_poor_pct;field_origin_cls;field_origin_cls_status;field_origin_cls_category;field_origin_cls_good_pct;field_origin_cls_needs_improvement_pct;field_origin_cls_poor_pct;field_origin_inp_ms;field_origin_inp_ms_status;field_origin_inp_s;field_origin_inp_s_status;field_origin_inp_ms_category;field_origin_inp_ms_good_pct;field_origin_inp_ms_needs_improvement_pct;field_origin_inp_ms_poor_pct;field_origin_fcp_ms;field_origin_fcp_ms_status;field_origin_fcp_s;field_origin_fcp_s_status;field_origin_fcp_ms_category;field_origin_fcp_ms_good_pct;field_origin_fcp_ms_needs_improvement_pct;field_origin_fcp_ms_poor_pct;field_origin_ttfb_ms;field_origin_ttfb_ms_status;field_origin_ttfb_s;field_origin_ttfb_s_status;field_origin_ttfb_ms_category;field_origin_ttfb_ms_good_pct;field_origin_ttfb_ms_needs_improvement_pct;field_origin_ttfb_ms_poor_pct
2026-04-27T14:15:36.374600+00:00;ok;https://www.ub.edu/;mobile;sin_error;sin_error;https://web.ub.edu/web/ub/;2026-04-27T14:14:27.869Z;https://web.ub.edu/web/ub/;13.0.1;sin_error;sin_error;35;97;92;92;true;available;Datos de campo disponibles.;true;available;Datos de campo disponibles.;5206,1670234552;5,2061670234552;0,08;10081,3644148113;10,0813644148113;0;6693,95241027841;6,69395241027841;0,36;1146;1,146;0,22;0,061943;0,97;16456,6103309663;16,4566103309663;0,05;https://web.ub.edu/web/ub/;AVERAGE;3694;available;3,694;available;AVERAGE;54,34;24,04;21,62;0,04;available;FAST;93,98;4,61;1,41;254;available;0,254;available;AVERAGE;60,33;34,37;5,3;2443;available;2,443;available;AVERAGE;62,26;19,87;17,87;1241;available;1,241;available;AVERAGE;60,71;25,38;13,91;https://web.ub.edu;SLOW;3451;available;3,451;available;AVERAGE;53,15;30,65;16,19;0,03;available;FAST;83,46;4,74;11,8;185;available;0,185;available;FAST;77,85;20,08;2,07;3036;available;3,036;available;SLOW;46,96;27,19;25,85;2401;available;2,401;available;SLOW;40,39;22,09;37,52
2026-04-27T14:17:16.964014+00:00;ok;https://www.ub.edu/;desktop;sin_error;sin_error;https://web.ub.edu/web/ub/;2026-04-27T14:16:08.966Z;https://web.ub.edu/web/ub/;13.0.1;sin_error;sin_error;40;97;92;92;true;available;Datos de campo disponibles.;true;available;Datos de campo disponibles.;1291,04673602784;1,29104673602784;0,69;3877,52363285576;3,87752363285576;0,18;2829,93500011344;2,82993500011344;0,31;920,012982229956;0,920012982229956;0,07;0,090989;0,92;4200,64475894789;4,20064475894789;0,55;https://web.ub.edu/web/ub/;AVERAGE;3067;available;3,067;available;AVERAGE;65,89;18,9;15,21;0,01;available;FAST;93,74;3,99;2,27;67;available;0,067;available;FAST;96,36;2,64;1;1414;available;1,414;available;FAST;83,28;10,06;6,66;714;available;0,714;available;FAST;78,32;16,26;5,42;https://web.ub.edu;SLOW;2948;available;2,948;available;AVERAGE;63,68;27,88;8,44;0,05;available;FAST;86,44;8,33;5,23;67;available;0,067;available;FAST;97,39;1,89;0,72;2629;available;2,629;available;AVERAGE;58,53;26,82;14,65;2247;available;2,247;available;SLOW;48,72;19,13;32,15
2026-04-27T14:17:38.684091+00:00;ok;https://www.udg.edu;mobile;sin_error;sin_error;https://www.udg.edu/ca/;2026-04-27T14:16:48.766Z;https://www.udg.edu/ca/;13.0.1;sin_error;sin_error;64;92;81;92;true;available;Datos de campo disponibles.;true;available;Datos de campo disponibles.;4373,6393082176;4,3736393082176;0,17;8421,74457862963;8,42174457862963;0,02;4694,89598927925;4,69489598927925;0,69;14;0,014;1;0,000213;1;8534,24457862963;8,53424457862963;0,38;https://www.udg.edu/ca/;FAST;1975;available;1,975;available;FAST;83,89;10,01;6,11;0,02;available;FAST;94,26;2,82;2,91;115;available;0,115;available;FAST;87,19;11,74;1,07;1536;available;1,536;available;FAST;80,82;12,45;6,73;637;available;0,637;available;FAST;81,38;13,15;5,47;https://www.udg.edu;AVERAGE;2093;available;2,093;available;FAST;80,82;10,8;8,39;0;available;FAST;95,4;2,37;2,22;112;available;0,112;available;FAST;90,57;8,8;0,63;1793;available;1,793;available;FAST;75,15;14,04;10,81;1319;available;1,319;available;AVERAGE;57,09;27,66;15,25
2026-04-27T14:18:15.146238+00:00;ok;https://www.udg.edu;desktop;sin_error;sin_error;https://www.udg.edu/ca/;2026-04-27T14:17:11.282Z;https://www.udg.edu/ca/;13.0.1;sin_error;sin_error;78;95;81;92;true;available;Datos de campo disponibles.;true;available;Datos de campo disponibles.;1004,14742121658;1,00414742121658;0,86;1808,41364403036;1,80841364403036;0,69;1875,3332132758;1,8753332132758;0,67;19,9999999999999;0,0199999999999999;1;0,204508;0,61;1840,41364403036;1,84041364403036;0,97;https://www.udg.edu/ca/;FAST;1471;available;1,471;available;FAST;91,12;5,22;3,66;0,03;available;FAST;96,36;2,34;1,3;30;available;0,03;available;FAST;97,9;1,09;1,01;1121;available;1,121;available;FAST;89,17;6,88;3,95;475;available;0,475;available;FAST;86,17;10,18;3,65;https://www.udg.edu;AVERAGE;1678;available;1,678;available;FAST;87,37;7,23;5,4;0,05;available;FAST;86,15;10,37;3,48;39;available;0,039;available;FAST;98,73;0,71;0,56;1435;available;1,435;available;FAST;82,87;9,99;7,14;919;available;0,919;available;AVERAGE;70,87;19,83;9,31
